,screennames,firstcomponent,secondcomponent,thirdcomponent
295,RepKimSchrier,-0.6679324954113695,-0.5503492738077459,0.029071977345506622
425,RepVeasey,1.0618311644832117,-0.548756987294517,0.02664800592666296
399,RepSusanWild,-1.1032959664757989,-0.5484011872804723,0.021466218713184267
234,RepGilCisneros,0.012256876971483767,-0.5472437573120393,0.033149949631284155
312,RepLowenthal,1.6331114834570526,-0.5470900244105183,0.032336089231331556
170,RepCasten,-0.6657588567316505,-0.5468824804473442,0.012890288734466723
370,RepRobinKelly,0.1619615733768284,-0.5460453726594163,0.020605487889733883
129,RepAndreCarson,0.715045759654993,-0.5391379747813569,0.01811757624708606
123,RepAdams,-0.2170804203233436,-0.5325599179291626,0.01786711092228923
564,gillibrandny,-1.213469966613716,-0.5323906909744528,-0.002459736712829216
217,RepDwightEvans,-1.0485037196851703,-0.5294870286299527,0.01723006799280662
106,NormaJTorres,0.6592074358257487,-0.5239220864140729,0.03177465373165588
45,FrankPallone,0.7643212466066981,-0.5231384540658989,0.019261871816921277
545,WSJ,-1.2088946875754427,-0.5210117801495863,-0.06721185736571124
289,RepKathleenRice,0.13929419949517938,-0.5193594849189068,0.016539599498757877
122,RepAdamSmith,0.593889405540177,-0.5153586486140633,0.018666723217141006
256,RepHuffman,1.2388507227396537,-0.5148452252661706,0.030911480954365498
57,GuardianUS,-2.148445303462863,-0.510505655306941,-0.018275112278236093
29,CongBoyle,-0.9314843799830376,-0.5101750345799677,0.014963764254085077
376,RepRoybalAllard,1.8266195974994808,-0.5097041630964296,0.03617892423194467
17,BradSherman,0.7950946190660282,-0.5049522902582069,0.016830236402972577
184,RepConorLamb,-1.0802079216578084,-0.49870344731654115,0.01739629481663001
223,RepEspaillat,-0.531972114477732,-0.498504562071907,0.017892721817520874
137,RepAnnaEshoo,1.7107666092076146,-0.4981236203336981,0.023033785013589235
177,RepChuyGarcia,-1.1367192132340493,-0.4980716954074109,0.015311694670279577
200,RepDavidTrone,-0.320536669129134,-0.48923257317116403,0.029787309646091845
381,RepSarbanes,0.3911991247210927,-0.48876541558566705,0.021493513782406885
225,RepFinkenauer,-0.6571944231428272,-0.48596450666572666,0.022165092578103788
382,RepSchneider,0.13734913981664973,-0.4829735692143228,0.030698204650142287
587,repjimcooper,-0.6160270048173683,-0.4758374630845907,0.01242035947837747
19,BrookingsInst,-1.427857072312867,-0.47138430210842136,-0.025482440034819927
190,RepDWStweets,-0.1595274633000351,-0.4699172853584517,0.022329648853556146
202,RepDeSaulnier,0.41506604317362,-0.46805036815089407,0.031936110329062566
147,RepBera,1.4507408824818062,-0.4677524352810344,0.028448967976169418
555,chelliepingree,-0.642035427714015,-0.46157385457444816,0.01685606841700712
218,RepEBJ,0.3278265818728169,-0.4599827915296189,0.019868700566697105
570,lisamurkowski,1.0444165916798882,-0.4557984236241613,-0.05462543190106699
316,RepMalinowski,-0.5853306846274046,-0.45286417321755446,0.02549188717083606
329,RepMcEachin,-0.11145058948426285,-0.4395889680195652,0.03334174126000613
232,RepGaramendi,0.7691870641716771,-0.4376097907106395,0.025646162802135476
359,RepRaulRuizMD,0.9361565532739473,-0.43071893966416536,0.03774665005869727
213,RepDonaldPayne,1.3264940564180203,-0.4256838047558855,0.03223240047618375
409,RepThompson,1.479242496177464,-0.42319385000787324,0.028949508018344994
538,USRepKCastor,-0.28839267411033287,-0.4158301449030495,0.025926044134014534
414,RepTjCox,-0.09139658243736734,-0.41280210584744,0.03207694109679469
491,Sen_JoeManchin,1.1445463351801584,-0.4112002557683169,-0.043730820102349646
197,RepDavidEPrice,-0.5693876912568346,-0.4075077588442726,0.01651626366107063
307,RepLloydDoggett,-0.21265994318972334,-0.40655643090650584,0.017238956957668965
194,RepDarrenSoto,-0.21274671637761652,-0.3956231735578371,0.025200183393823513
162,RepBrownley,1.0143030253621639,-0.395189431720465,0.042215654254490094
38,DorisMatsui,1.0987227380060465,-0.3851056371646224,0.02727794901160242
273,RepJoeMorelle,-0.6345461603213328,-0.38488077940065496,0.029269758753105193
282,RepJoseSerrano,0.42772450460759553,-0.38229534158132933,0.016294888538001845
319,RepMarcyKaptur,0.356978585531553,-0.3776561944425429,0.030257255898523024
235,RepGolden,-0.6570242839983437,-0.3771641292656349,0.023889709579727626
219,RepEdCase,-0.44690218545013577,-0.37282764823724757,0.03927941390956167
11,BettyMcCollum04,-0.6030498256985668,-0.3680039023682996,0.015514673081231325
153,RepBonamici,-0.1261252307163494,-0.36039821345815953,0.024294045181822717
207,RepDelBene,0.15511181739656105,-0.36010921905966126,0.029574126844358298
584,repdinatitus,-0.13595540330182734,-0.35391583167599105,0.02064946553465749
582,repdavidscott,1.3238335282926923,-0.351391995041686,0.03148987836446103
279,RepJohnLarson,0.5185303154058954,-0.3456431486749977,0.02204350075623107
169,RepCartwright,1.2147224012471278,-0.34517327314962787,0.04249247681131997
46,GKButterfield,0.048302400280142425,-0.3406345119766685,0.023553634560011413
167,RepCardenas,0.8318786129323334,-0.33957690084508313,0.035750500686078206
126,RepAlLawsonJr,0.8353841727363732,-0.33154327190334226,0.03315031036363101
348,RepPeteAguilar,1.0540936677004826,-0.32509250116906574,0.04121209653311264
72,JimLangevin,-0.3293142626477955,-0.32424506636131306,0.022511749328061433
297,RepKirkpatrick,-0.7309144951960278,-0.3222591907764125,0.02606960313112707
285,RepJuanVargas,1.468929794882313,-0.31539579719709043,0.04142675150551755
352,RepPeterDeFazio,-0.0099895511570049,-0.31087051847198377,0.02416704175076392
20,BuzzFeedPol,-2.4686792708175815,-0.30024930714021203,-0.015607229604850899
344,RepOHalleran,-0.06273599252068394,-0.29008524013385734,0.029548957990478745
109,OccupyWallSt,-2.740409237945775,-0.2866763970685351,-0.013930817266441376
148,RepBillFoster,0.4099586134845966,-0.2801053502191388,0.026508334178986445
240,RepGregStanton,-0.8829459373706995,-0.2777833880230764,0.02590596666641974
138,RepAnnieKuster,0.01518009487419875,-0.27612246725488315,0.03336349526065286
193,RepDannyDavis,0.18330754489737344,-0.2731983610977186,0.029993461591135497
441,SanfordBishop,1.3567621945481663,-0.2606330940523492,0.035366977921849646
385,RepScottPeters,0.6747594657893186,-0.25199433442791963,0.0358040111178312
541,USRepMikeDoyle,0.09498600258615704,-0.2517655731612778,0.027009729336102666
208,RepDerekKilmer,0.730108627311119,-0.2452340144674731,0.03755009678829192
501,SenatorCollins,0.9230514224912079,-0.24184854883084772,-0.0702253653243106
396,RepStephenLynch,0.009148497394790006,-0.23985953427847598,0.02270948302575573
389,RepSires,1.1102709031797526,-0.2329503961832036,0.03166514167015359
511,SenatorRomney,-1.4303856560253998,-0.23127515551177488,-0.027822018756420014
548,YahooNews,-1.8699389007593064,-0.22816468062292158,-0.03212524965200681
332,RepMcNerney,2.017530344584894,-0.21767361574519387,0.03931813526926413
365,RepRickLarsen,0.3415834263010443,-0.21604755995314556,0.034919815675955264
346,RepPaulTonko,0.13978341511528505,-0.2130676845289518,0.031476950480096834
78,JohnKasich,-0.8149998889137756,-0.19964953673816105,-0.052511262311835234
383,RepSchrader,0.25858694419421857,-0.19822145255728227,0.02646662944662401
171,RepCharlieCrist,0.42693594275183794,-0.19375656049418452,0.03219192590266624
224,RepFilemonVela,0.9287418026098413,-0.18817460213119472,0.04037671117999292
372,RepRonKind,0.651468845205754,-0.18731985512122398,0.03197573584667334
472,SenMurphyOffice,-2.4008919518113054,-0.18412801386306407,0.0013520692425816837
60,HerreraBeutler,-0.3751295540175373,-0.18310959401510762,-0.00019698277328723338
15,BlumenauerMedia,-2.6561962353666924,-0.17139500608319724,0.002614885328558174
83,Kilili_Sablan,-1.5492657758104675,-0.166356259071548,0.028515670738504032
236,RepGonzalez,0.09273546777642477,-0.16300288866751325,0.04370877918078304
595,teammoulton,-1.6411342055135152,-0.1623738434004635,0.01098653180682252
269,RepJimCosta,1.7746868814846577,-0.14859610885586322,0.04331646608820555
271,RepJimmyPanetta,0.6053451518613435,-0.14301106083733298,0.04569808186186892
166,RepCarbajal,0.5991225946023313,-0.13211427452361305,0.04236266107780826
539,USRepKeating,0.5702138235335888,-0.12929972903701242,0.034979863027808936
272,RepJoeCourtney,0.5612813317979136,-0.12197007220064865,0.02805171902206437
98,MittRomney,-0.7286851135686032,-0.12192625972484097,-0.07613061189390834
347,RepPerlmutter,-0.08158635887487323,-0.1212589261827195,0.02186076238093578
116,RANDCorporation,-2.047487748368186,-0.11015226337782959,-0.01620952778125509
37,DonaldNorcross,0.03418166589116231,-0.10535570164027314,0.04175761591877277
159,RepBrianHiggins,0.05549520388219151,-0.08716720411514588,0.03306855044092923
418,RepTomSuozzi,0.33009365056737544,-0.08359215045531491,0.040773684301105735
56,GuamCongressman,-2.6384796520191984,-0.07977382663598055,0.00855694972526885
283,RepJoshG,0.3336815982415359,-0.05303916922989712,0.038803676162362945
41,EconUS,-2.985232674926445,-0.05134208082533273,-0.007551001267121244
22,Call_Me_Dutch,0.17532809961090914,-0.03576293131968973,0.03187058480827222
535,TulsiPress,-1.248706747981224,-0.014593967273222316,-0.029441784833970776
14,Bloomberg,-2.479963731987181,-0.010726827407462306,-0.018207327849309
185,RepCuellar,1.2618581155112196,0.007705447676638036,0.03159632604081842
